replication,n_synthetic,synthetic_source,mechanism,target_missing_rate,observed_missing_rate,method,n_imputed_datasets,runtime_seconds,ari_true_gmm_vs_benchmark,ari_vs_full_data_kmeans,centroid_error_mean,centroid_error_max,cluster_size_error_mean_abs,silhouette
9,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.298375,random_forest,1,11.199083065614104,0.948682665021949,0.9749928728679118,0.05729728781816421,0.07872151410822888,0.0028000000000000026,0.5679839074883509
9,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.5029,random_forest,1,5.956361999735236,0.948682665021949,0.926143026681716,0.10232168236847232,0.13949776606878286,0.0050000000000000044,0.5721744902869152
10,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.1,0.101525,random_forest,1,5.12057503964752,0.948682665021949,0.9894172856385758,0.02865781855849527,0.041493772045785436,0.0014000000000000013,0.5729200768817739
10,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.3,0.297525,random_forest,1,6.777955935802311,0.948682665021949,0.9792762666882782,0.05976613486364908,0.11165613716121835,0.001200000000000001,0.5782397555347256
10,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.5,0.49655,random_forest,1,8.127589398995042,0.948682665021949,0.9434521817497815,0.17170582336595133,0.405425047687559,0.004800000000000004,0.5804116326209681
10,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.1,0.100625,random_forest,1,7.545273317955434,0.948682665021949,0.9949501774541187,0.00520535409356236,0.006830465249038399,0.00020000000000000017,0.569683563928274
10,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.3,0.298925,random_forest,1,8.915694973897189,0.948682665021949,0.9443193228804433,0.028662944384800375,0.046811033512038455,0.0040000000000000036,0.5692536497151018
10,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.5,0.4957,random_forest,1,15.750519076362252,0.948682665021949,0.9086164328604994,0.07782573719464679,0.23536835676755202,0.003400000000000003,0.5466725545136025
10,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.100825,random_forest,1,4.876102067064494,0.948682665021949,0.9944567179643041,0.01330162287011866,0.020636874040940296,0.00040000000000000034,0.5711120899464104
10,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.2978,random_forest,1,6.707253372296691,0.948682665021949,0.95725618334021,0.04864419556016614,0.06960045081893255,0.0040000000000000036,0.5685575583324901
10,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.500725,random_forest,1,7.9357168660499156,0.948682665021949,0.9501839711075182,0.11873256268654724,0.16569920298729715,0.0030000000000000027,0.5747902089224267
11,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.1,0.1014,random_forest,1,5.138956861104816,0.948682665021949,0.996631663444132,0.018126735633647077,0.03542588741935168,0.00040000000000000034,0.5723694277195227
11,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.3,0.301975,random_forest,1,8.955288238357753,0.948682665021949,0.983290609080181,0.06805496741361873,0.14255517502279794,0.0018000000000000017,0.5798662527954578
11,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.5,0.50315,random_forest,1,11.600270822178572,0.948682665021949,0.9591350439322629,0.10265191407790777,0.16970785218186718,0.0038000000000000004,0.5924658501390531
11,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.1,0.100825,random_forest,1,5.010069478303194,0.948682665021949,0.9911024093547798,0.014619892796372897,0.023777438989868838,0.00040000000000000034,0.5682370961315889
11,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.3,0.30305,random_forest,1,6.495548230130225,0.948682665021949,0.9572875144656392,0.06428747453427207,0.20652403079313703,0.0008000000000000007,0.5553143374803553
11,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.5,0.503275,random_forest,1,9.584880454000086,0.948682665021949,0.8622426154990394,0.11380230709811504,0.4048311500973779,0.005800000000000005,0.5280025206797606
