ID,cohort,trt,registered,activated,cluster,totalmins,logindays,loginwks,pageviews,posts,ptp,ate,totaldays,act_wkpv,dur_wkpv,act_ptp,dur_ptp,act_ate,dur_ate,sdwkpv,sdptp,sdate,rate_wkpv,rate_ptp,rate_ate
266,3.0,,,,3,175.3666666666667,17.0,11.0,324.0,3.0,0.0,3.0,126.0,10.0,18.0,0.0,0.0,3.0,17.0,21.370678,0.0,0.3834825,0.5555556,0.0,0.1764706
272,5.0,,,,3,249.2666666666667,28.0,15.0,420.0,10.0,0.0,10.0,124.0,14.0,17.0,0.0,0.0,6.0,10.0,25.1887,0.0,0.9217772,0.8235294,0.0,0.6
308,4.0,,,,3,760.6333333333333,27.0,13.0,536.0,6.0,0.0,6.0,101.0,13.0,15.0,0.0,0.0,6.0,9.0,33.93862,0.0,0.48507124,0.8666667,0.0,0.6666667
316,5.0,,,,3,75.91666666666666,11.0,8.0,200.0,4.0,0.0,4.0,70.0,8.0,11.0,0.0,0.0,2.0,6.0,21.006691,0.0,0.7320845,0.72727275,0.0,0.33333334
328,5.0,,,,3,85.25,9.0,6.0,412.0,2.0,0.0,2.0,115.0,6.0,17.0,0.0,0.0,2.0,2.0,38.961353,0.0,0.32338083,0.3529412,0.0,1.0
338,2.0,,,,3,784.8000000000001,24.0,9.0,662.0,1.0,0.0,1.0,66.0,9.0,9.0,0.0,0.0,1.0,1.0,38.99103,0.0,0.23570226,1.0,0.0,1.0
362,4.0,,,,3,358.1333333333334,14.0,8.0,333.0,10.0,0.0,10.0,85.0,8.0,13.0,0.0,0.0,3.0,3.0,33.960617,0.0,1.3814836,0.61538464,0.0,1.0
376,5.0,,,,3,260.9333333333334,22.0,11.0,553.0,9.0,1.0,8.0,88.0,11.0,13.0,1.0,1.0,5.0,10.0,54.69789,0.23570226,0.8555853,0.84615386,1.0,0.5
392,5.0,,,,3,83.56666666666668,4.0,4.0,122.0,3.0,0.0,3.0,102.0,4.0,15.0,0.0,0.0,2.0,3.0,17.561842,0.0,0.51449573,0.26666668,0.0,0.6666667
414,3.0,,,,3,134.15,13.0,6.0,380.0,2.0,0.0,2.0,59.0,6.0,9.0,0.0,0.0,1.0,1.0,80.747894,0.0,0.47140452,0.6666667,0.0,1.0
441,2.0,,,,3,412.8166666666667,14.0,10.0,268.0,3.0,1.0,2.0,122.0,10.0,17.0,1.0,1.0,2.0,2.0,19.908615,0.23570226,0.32338083,0.5882353,1.0,1.0
14,2.0,,,,4,294.6833333333333,20.0,10.0,623.0,8.0,5.0,3.0,92.0,10.0,14.0,3.0,5.0,1.0,1.0,35.73578,0.7519039,0.70710677,0.71428573,0.6,1.0
17,4.0,,,,4,553.8166666666666,14.0,10.0,295.0,18.0,3.0,15.0,108.0,10.0,16.0,3.0,14.0,5.0,14.0,25.368204,0.3834825,1.5811388,0.625,0.21428572,0.35714287
26,5.0,,,,4,366.1833333333333,9.0,4.0,437.0,22.0,10.0,12.0,33.0,4.0,6.0,2.0,2.0,1.0,1.0,91.49593,2.12055,2.828427,0.6666667,1.0,1.0
122,4.0,,,,4,760.0,42.0,13.0,785.0,29.0,8.0,21.0,110.0,13.0,16.0,6.0,16.0,9.0,16.0,61.172024,0.7047922,1.5811388,0.8125,0.375,0.5625
128,5.0,,,,4,1850.083333333333,35.0,14.0,3198.0,14.0,8.0,6.0,115.0,15.0,18.0,3.0,6.0,3.0,8.0,272.03915,1.1490263,0.84016806,0.8333333,0.5,0.375
168,5.0,,,,4,2286.133333333333,27.0,13.0,1312.0,10.0,3.0,7.0,115.0,13.0,17.0,2.0,2.0,3.0,3.0,121.05122,0.51449573,0.9164438,0.7647059,1.0,1.0
193,3.0,,,,4,906.4333333333334,76.0,18.0,1538.0,17.0,5.0,12.0,126.0,18.0,18.0,4.0,17.0,6.0,17.0,106.42657,0.57451314,1.1881771,1.0,0.23529412,0.3529412
274,4.0,,,,4,560.9333333333333,36.0,16.0,570.0,16.0,8.0,8.0,119.0,16.0,18.0,4.0,13.0,4.0,14.0,41.697792,0.9217772,1.0416176,0.8888889,0.30769232,0.2857143
322,3.0,,,,4,289.1166666666667,72.0,15.0,1341.0,14.0,8.0,6.0,126.0,14.0,18.0,6.0,17.0,5.0,14.0,71.83662,0.7047922,0.59408855,0.7777778,0.3529412,0.35714287
369,2.0,,,,4,1087.133333333333,96.0,19.0,2602.0,30.0,17.0,13.0,126.0,18.0,18.0,8.0,17.0,4.0,6.0,120.68833,1.6259738,1.934381,1.0,0.47058824,0.6666667
445,2.0,,,,4,417.6,18.0,8.0,458.0,20.0,14.0,6.0,87.0,8.0,13.0,4.0,4.0,3.0,5.0,46.490036,1.8005083,0.9701425,0.61538464,1.0,0.6
